id,title,genres,authors,year
128115,Ворон-челобитчик,"Зарубежные детские книги,Сказки,Зарубежная классика,Литература 19 века,Русская классика",Михаил Салтыков-Щедрин,1886
210979,Скрипка Ротшильда,"Классическая проза,Литература 19 века,Русская классика",Антон Чехов,1894
95632,Испорченные дети,"Зарубежная классика,Классическая проза,Литература 19 века,Русская классика",Михаил Салтыков-Щедрин,1869
247906,Странный человек,"Пьесы и драматургия,Литература 19 века",Михаил Лермонтов,1831
294280,Господа ташкентцы,"Зарубежная классика,Классическая проза,Литература 19 века,Русская классика",Михаил Салтыков-Щедрин,1873
250772,Исповедь,"Стихи и поэзия,Литература 19 века",Михаил Лермонтов,1829-1830
135463,Самоотверженный заяц,"Зарубежные детские книги,Сказки,Зарубежная классика,Литература 19 века,Русская классика",Михаил Салтыков-Щедрин,1883
221944,Праздный разговор,"Сказки,Литература 19 века,Русская классика",Михаил Салтыков-Щедрин,1886
307,Путём-дорогою,"Зарубежные детские книги,Сказки,Русская классика",Михаил Салтыков-Щедрин,
133138,Соседи,"Зарубежные детские книги,Сказки,Русская классика",Михаил Салтыков-Щедрин,
202356,Орел-меценат,"Сказки,Литература 19 века,Русская классика",Михаил Салтыков-Щедрин,1884
51310,Либерал,"Зарубежная классика,Литература 19 века,Русская классика",Михаил Салтыков-Щедрин,1885
75579,Ярмарка тщеславия,"Зарубежная классика,Зарубежная старинная литература,Классическая проза,Литература 19 века",Уильям Теккерей,1848
285394,Хитрость,"Зарубежная классика,Классическая проза",Ги де Мопассан,
167994,Как вам это понравится,"Пьесы и драматургия,Зарубежная драматургия",Уильям Шекспир,1600
321040,Жанета,Русская классика,Александр Куприн,1934
99353,Записки о Галльской войне,"Зарубежная старинная литература,Античная литература",Гай Юлий Цезарь,58-50 гг. до н. э.
186847,Устрицы,"Литература 19 века,Русская классика",Антон Чехов,1884
64274,Дуэль,"Литература 19 века,Русская классика",Антон Чехов,1888-1891
80487,Иго войны,"Литература 20 века,Русская классика",Леонид Андреев,1916
49230,Сказка о мертвой царевне и о семи богатырях,"Детские стихи,Сказки,Список школьной литературы 5-6 класс,Литература 19 века,Русская классика",Александр Пушкин,1834
100726,Как надо работать. Практическое введение в науку организации труда. Маркс и Форд,"Политология,Государственное и муниципальное управление",Алексей Гастев,1927
167361,Система Тэйлора и организация работы советских учреждений,"Политология,Государственное и муниципальное управление",Надежда Крупская,1921
92503,Подземные царства,Сказки,,
