Duplicate1,Duplicate2
"{'Date': '2018-03-06', 'Price': 6522650, 'Geo_lat': 55.9139498, 'Geo_lon': 37.7077118, 'Building_type': 1}","{'Date': '2018-03-06', 'Price': 6522650, 'Geo_lat': 55.9139498, 'Geo_lon': 37.7077118, 'Building_type': 1}"
"{'Date': '2018-09-08', 'Price': 1500000, 'Geo_lat': 54.9460168, 'Geo_lon': 82.9728021, 'Building_type': 1}","{'Date': '2018-09-08', 'Price': 1500000, 'Geo_lat': 54.9460168, 'Geo_lon': 82.9728021, 'Building_type': 1}"
"{'Date': '2018-09-08', 'Price': 1948000, 'Geo_lat': 55.0303931, 'Geo_lon': 83.0155452, 'Building_type': 1}","{'Date': '2018-09-08', 'Price': 1948000, 'Geo_lat': 55.0303931, 'Geo_lon': 83.0155452, 'Building_type': 1}"
"{'Date': '2021-01-01', 'Price': 1490000, 'Geo_lat': 59.1890518, 'Geo_lon': 39.9323019, 'Building_type': 4}","{'Date': '2021-01-01', 'Price': 1490000, 'Geo_lat': 59.1890518, 'Geo_lon': 39.9323019, 'Building_type': 4}"
"{'Date': '2021-01-01', 'Price': 1950000, 'Geo_lat': 57.1327243, 'Geo_lon': 65.5822106, 'Building_type': 4}","{'Date': '2021-01-01', 'Price': 1950000, 'Geo_lat': 57.1327243, 'Geo_lon': 65.5822106, 'Building_type': 4}"
"{'Date': '2021-01-01', 'Price': 3000000, 'Geo_lat': 52.0399219, 'Geo_lon': 113.482198, 'Building_type': 4}","{'Date': '2021-01-01', 'Price': 3000000, 'Geo_lat': 52.0399219, 'Geo_lon': 113.482198, 'Building_type': 4}"
"{'Date': '2021-01-01', 'Price': 3100000, 'Geo_lat': 44.6081542, 'Geo_lon': 40.1383814, 'Building_type': 0}","{'Date': '2021-01-01', 'Price': 3100000, 'Geo_lat': 44.6081542, 'Geo_lon': 40.1383814, 'Building_type': 0}"
"{'Date': '2021-01-01', 'Price': 3450000, 'Geo_lat': 55.125896, 'Geo_lon': 82.894414, 'Building_type': 4}","{'Date': '2021-01-01', 'Price': 3450000, 'Geo_lat': 55.125896, 'Geo_lon': 82.894414, 'Building_type': 4}"
"{'Date': '2021-01-01', 'Price': 3500000, 'Geo_lat': 55.125896, 'Geo_lon': 82.894414, 'Building_type': 4}","{'Date': '2021-01-01', 'Price': 3500000, 'Geo_lat': 55.125896, 'Geo_lon': 82.894414, 'Building_type': 4}"
"{'Date': '2021-01-01', 'Price': 4250000, 'Geo_lat': 55.125896, 'Geo_lon': 82.894414, 'Building_type': 4}","{'Date': '2021-01-01', 'Price': 4250000, 'Geo_lat': 55.125896, 'Geo_lon': 82.894414, 'Building_type': 4}"
"{'Date': '2021-01-01', 'Price': 4250000, 'Geo_lat': 55.125896, 'Geo_lon': 82.894414, 'Building_type': 4}","{'Date': '2021-01-01', 'Price': 4250000, 'Geo_lat': 55.125896, 'Geo_lon': 82.894414, 'Building_type': 4}"
"{'Date': '2021-01-01', 'Price': 4450000, 'Geo_lat': 55.125896, 'Geo_lon': 82.894414, 'Building_type': 4}","{'Date': '2021-01-01', 'Price': 4450000, 'Geo_lat': 55.125896, 'Geo_lon': 82.894414, 'Building_type': 4}"
"{'Date': '2021-01-01', 'Price': 4450000, 'Geo_lat': 55.125896, 'Geo_lon': 82.894414, 'Building_type': 4}","{'Date': '2021-01-01', 'Price': 4450000, 'Geo_lat': 55.125896, 'Geo_lon': 82.894414, 'Building_type': 4}"
