date,price,level,levels,rooms,area,kitchen_area,geo_lat,geo_lon,building_type,object_type,postal_code,street_id,id_region,house_id,time,region
2021-01-01,2451300,15,31,1,30.3,0.0,56.7801124,60.6993548,0,2,620000.0,,66.0,1632918.0,,
2021-01-01,1450000,5,5,1,33.0,6.0,44.6081542,40.1383814,0,0,385000.0,,1.0,,,
2021-01-01,10700000,4,13,3,85.0,12.0,55.5400601,37.7251124,3,0,142701.0,242543.0,50.0,681306.0,,
2021-01-01,3100000,3,5,3,82.0,9.0,44.6081542,40.1383814,0,0,385000.0,,1.0,,,
2021-01-01,2500000,2,3,1,30.0,9.0,44.7386846,37.7136681,3,2,353960.0,439378.0,23.0,1730985.0,,
2021-01-01,1450000,5,5,2,47.0,6.0,48.5111715,44.5668459,2,0,400096.0,260588.0,34.0,1009994.0,,
2021-01-01,9000000,2,4,3,107.4,21.3,55.0099136,82.9348589,4,0,630102.0,233285.0,54.0,2823596.0,,
2021-01-01,2990000,1,2,3,54.0,7.0,51.8347031,107.6005709,0,0,670034.0,,3.0,,,
2021-01-01,2300000,16,18,1,39.7,11.5,45.0038685,39.0865107,4,0,350065.0,523822.0,23.0,1284243.0,,
2021-01-01,2290000,2,2,2,53.2,16.0,53.164362,45.033956,5,0,440003.0,,58.0,,,
2021-01-01,3350000,1,19,-1,10.1,2.0,55.778026,37.540147,3,0,123007.0,580339.0,77.0,2069062.0,,
2021-01-01,5000000,8,9,3,100.0,0.0,57.104626,65.58797,4,0,625046.0,450441.0,72.0,2825516.0,,
2021-01-01,3214804,5,17,-1,32.44,0.0,55.4624497,37.700041,0,2,102321.0,,50.0,799789.0,,
2021-01-01,3750000,19,20,2,40.0,-100.0,55.0552885,82.8941912,3,0,630082.0,557992.0,54.0,2715855.0,,
2021-01-01,11100000,3,17,2,62.4,9.7,55.6905542,37.8635456,0,0,140002.0,,50.0,,,
2021-01-01,8865000,10,13,2,66.7,14.6,59.8511787,30.4116573,4,2,192288.0,569976.0,78.0,1690045.0,,
2021-01-01,2650000,6,7,-1,26.0,4.0,57.1529744,65.5344099,3,2,625062.0,229121.0,72.0,880012.0,,
2021-01-01,2300000,2,4,3,62.4,7.7,48.7811242,44.5777823,4,0,400009.0,,34.0,,,
2021-01-01,2500000,5,9,3,61.0,7.5,57.6881859,39.76105,2,0,150063.0,190251.0,76.0,1940462.0,,
2021-01-01,4650000,5,9,2,56.8,8.0,54.7422365,55.9962363,4,0,450097.0,458583.0,2.0,918972.0,,
2021-01-01,2435000,5,5,1,49.7,0.0,54.6033362,36.2673399,4,0,248031.0,564060.0,40.0,2657892.0,,
2021-01-01,5000000,6,9,2,62.9,11.2,45.0381364,38.9212563,0,0,350004.0,209279.0,23.0,2170951.0,,
